Source,Target,Type,Weight,Commands
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/wbem/unsecapp.exe,spawned,113,C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/winrshost.exe,spawned,845,C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/vdsldr.exe,spawned,53,C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/winsxs/amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99/tiworker.exe,spawned,56,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/rdpclip.exe,spawned,37,rdpclip | rdpclip | rdpclip | rdpclip | rdpclip
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/tstheme.exe,spawned,43,C:\Windows\system32\TSTheme.exe -Embedding | C:\Windows\system32\TSTheme.exe -Embedding | C:\Windows\system32\TSTheme.exe -Embedding | C:\Windows\system32\TSTheme.exe -Embedding | C:\Windows\system32\TSTheme.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/rundll32.exe,spawned,47,"rundll32.exe AppXDeploymentExtensions.OneCore.dll,ShellRefresh | C:\Windows\System32\rundll32.exe shell32.dll,SHCreateLocalServerRunDll {c08afd90-f2a1-11d1-8455-00a0c91f3880} -Embedding | rundll32.exe AppXDeploymentExtensions.OneCore.dll,ShellRefresh | C:\Windows\System32\rundll32.exe C:\Windows\System32\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding | rundll32.exe AppXDeploymentExtensions.OneCore.dll,ShellRefresh"
proc::c:/windows/system32/svchost.exe,proc::c:/windows/syswow64/dllhost.exe,spawned,26,C:\Windows\SysWOW64\DllHost.exe /Processid:{06622D85-6856-4460-8DE1-A81921B41C4B} | C:\Windows\SysWOW64\DllHost.exe /Processid:{06622D85-6856-4460-8DE1-A81921B41C4B} | C:\Windows\SysWOW64\DllHost.exe /Processid:{06622D85-6856-4460-8DE1-A81921B41C4B} | C:\Windows\SysWOW64\DllHost.exe /Processid:{06622D85-6856-4460-8DE1-A81921B41C4B} | C:\Windows\SysWOW64\DllHost.exe /Processid:{06622D85-6856-4460-8DE1-A81921B41C4B}
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/installagent.exe,spawned,25,C:\Windows\System32\InstallAgent.exe -Embedding | C:\Windows\System32\InstallAgent.exe -Embedding | C:\Windows\System32\InstallAgent.exe -Embedding | C:\Windows\System32\InstallAgent.exe -Embedding | C:\Windows\System32\InstallAgent.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/mmc.exe,spawned,5,C:\Windows\system32\mmc.exe -Embedding | C:\Windows\system32\mmc.exe -Embedding | C:\Windows\system32\mmc.exe -Embedding | C:\Windows\system32\mmc.exe -Embedding | C:\Windows\system32\mmc.exe -Embedding
