Source,Target,Type,Weight,Commands
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/wbem/unsecapp.exe,spawned,113,C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding | C:\Windows\system32\wbem\unsecapp.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/winrshost.exe,spawned,845,C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding | C:\Windows\system32\WinrsHost.exe -Embedding
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{b2978737-bde4-4a30-bbc3-c53431e535db}/datelastconnected,set_value,1,
proc::c:/windows/system32/svchost.exe,file::c:/windows/tasks/sa.dat,wrote,54,
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/vdsldr.exe,spawned,53,C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding | C:\Windows\System32\vdsldr.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/winsxs/amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99/tiworker.exe,spawned,56,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99\TiWorker.exe -Embedding
proc::c:/windows/system32/svchost.exe,file::c:/windows/system32/driverstore/filerepository/printqueue.inf_amd64_293dcb0d10d72f40/printqueue.pnf,wrote,6,
proc::c:/windows/system32/svchost.exe,file::c:/windows/system32/wbem/repository/writable.tst,wrote,54,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{719fb519-2998-4038-9070-c096a1bdbcc9}/datelastconnected,set_value,1,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{719fb519-2998-4038-9070-c096a1bdbcc9}/nametype,set_value,1,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{719fb519-2998-4038-9070-c096a1bdbcc9}/datecreated,set_value,1,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{719fb519-2998-4038-9070-c096a1bdbcc9}/category,set_value,1,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{719fb519-2998-4038-9070-c096a1bdbcc9}/managed,set_value,1,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{719fb519-2998-4038-9070-c096a1bdbcc9}/description,set_value,1,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{719fb519-2998-4038-9070-c096a1bdbcc9}/profilename,set_value,1,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/winlogon/gpextensions/{827d319e-6eac-11d2-a4ea-00c04f79f83a}/maxnogpolistchangesinterval,set_value,18,
proc::c:/windows/system32/svchost.exe,reg::hklm/system/currentcontrolset/services/w32time/config/lastknowngoodtime,set_value,721,
proc::c:/windows/system32/svchost.exe,reg::hklm/software/microsoft/windows nt/currentversion/networklist/profiles/{a2331947-384f-4aee-93b1-f317f7ea10b0}/datelastconnected,set_value,1,
